"Name","API Name","Memory","vCPUs","Storage","On Demand cost","Reserved cost"
"I3 Storage Optimized Double Extra Large","i3.2xlarge.search","61 GiB","8 vCPUs","1 x 1900 NVMe SSD","$0.9980 hourly","$0.6890 hourly"
"I2 Storage Optimized Double Extra Large","i2.2xlarge.search","61 GiB","8 vCPUs","2 x 800 SSD","$2.3870 hourly","unavailable"
"R6G Memory Optimized Double Extra Large","r6g.2xlarge.search","64 GiB","8 vCPUs","EBS Only","$0.6690 hourly","$0.4620 hourly"
"R5 Memory Optimized Double Extra Large","r5.2xlarge.search","64 GiB","8 vCPUs","EBS Only","$0.7430 hourly","$0.5130 hourly"
"R6GD Memory Optimized (NVME SSD) Double Extra Large","r6gd.2xlarge.search","64 GiB","8 vCPUs","1 x 475 NVMe SSD","$0.7650 hourly","$0.5280 hourly"
"M6G General Purpose Quadruple Extra Large","m6g.4xlarge.search","64 GiB","16 vCPUs","EBS Only","$1.0230 hourly","$0.7060 hourly"
"M5 General Purpose Quadruple Extra Large","m5.4xlarge.search","64 GiB","16 vCPUs","EBS Only","$1.1330 hourly","$0.7820 hourly"
"M4 General Purpose Quadruple Extra Large","m4.4xlarge.search","64 GiB","16 vCPUs","EBS Only","$1.2070 hourly","$0.8330 hourly"
"C6G Compute Optimized Eight Extra Large","c6g.8xlarge.search","64 GiB","32 vCPUs","EBS Only","$1.8060 hourly","$1.2460 hourly"
"C5 Compute Optimized 9xlarge","c5.9xlarge.search","72 GiB","36 vCPUs","EBS Only","$2.2570 hourly","$1.5570 hourly"
"C6G Compute Optimized 12xlarge Extra Large","c6g.12xlarge.search","96 GiB","48 vCPUs","EBS Only","$2.7090 hourly","$1.8690 hourly"
"R4 Memory Optimized Quadruple Extra Large","r4.4xlarge.search","122 GiB","16 vCPUs","EBS Only","$1.5690 hourly","$1.0830 hourly"
"R3 Memory Optimized Quadruple Extra Large","r3.4xlarge.search","122 GiB","16 vCPUs","1 x 320 SSD","$1.9600 hourly","unavailable"
"I3 Storage Optimized Quadruple Extra Large","i3.4xlarge.search","122 GiB","16 vCPUs","2 x 1900 NVMe SSD","$1.9970 hourly","$1.3780 hourly"
"ULTRAWARM1 Large","ultrawarm1.large.search","122 GiB","16 vCPUs","20","$2.6800 hourly","unavailable"
"R6G Memory Optimized Quadruple Extra Large","r6g.4xlarge.search","128 GiB","16 vCPUs","EBS Only","$1.3390 hourly","$0.9240 hourly"
"R5 Memory Optimized Quadruple Extra Large","r5.4xlarge.search","128 GiB","16 vCPUs","EBS Only","$1.4870 hourly","$1.0260 hourly"
"R6GD Memory Optimized (NVME SSD) Quadruple Extra Large","r6gd.4xlarge.search","128 GiB","16 vCPUs","1 x 950 NVMe SSD","$1.5300 hourly","$1.0560 hourly"
"M6G General Purpose Eight Extra Large","m6g.8xlarge.search","128 GiB","32 vCPUs","EBS Only","$2.0450 hourly","$1.4110 hourly"
"C5 Compute Optimized 18xlarge","c5.18xlarge.search","144 GiB","72 vCPUs","EBS Only","$4.5140 hourly","$3.1150 hourly"
"M4 General Purpose Deca Extra Large","m4.10xlarge.search","160 GiB","40 vCPUs","EBS Only","$3.0170 hourly","$2.0820 hourly"
"M6G General Purpose 12xlarge Extra Large","m6g.12xlarge.search","192 GiB","48 vCPUs","EBS Only","$3.0680 hourly","$2.1170 hourly"
"M5 General Purpose 12xlarge Extra Large","m5.12xlarge.search","192 GiB","48 vCPUs","EBS Only","$3.3980 hourly","$2.3450 hourly"
"R4 Memory Optimized Eight Extra Large","r4.8xlarge.search","244 GiB","32 vCPUs","EBS Only","$3.1390 hourly","$2.1660 hourly"
